"","x"
"1",0.00409836065573753
"3",0.00409836065573753
"6",0.999999991353131
"8",0.121951219512193
"14",0.00409836065573753
"17",0.00409836065573753
"19",0.947368421052632
"21",0.121951219512193
"23",0.00409836065573753
"26",0.406249999999996
"28",0.00409836065573753
"33",0.947368421052632
"35",0.121951219512193
"42",0.406249999999996
"45",0.999999991353131
"46",0.00409836065573753
"47",0.947368421052632
"54",0.92
"59",0.406249999999996
"62",0.00409836065573753
"64",0.714285714285711
"66",0.121951219512193
"74",0.92
"75",0.714285714285711
"76",0.121951219512193
"80",0.00409836065573753
"85",0.947368421052632
"89",0.00409836065573753
"92",0.00409836065573753
"97",0.00409836065573753
"99",0.999999991353131
"100",0.958333333333333
"101",0.92
"104",0.406249999999996
"105",0.999999991353131
"107",0.999999991353131
"110",0.714285714285711
"114",0.999999991353131
"116",0.00409836065573753
"119",0.00409836065573753
"122",0.00409836065573753
"123",0.999999991353131
"129",0.92
"138",0.00409836065573753
"139",0.121951219512193
"141",0.00409836065573753
"145",0.00409836065573753
"147",0.92
"150",0.947368421052632
"154",0.00409836065573753
"157",0.121951219512193
"158",0.00409836065573753
"161",0.947368421052632
"168",0.999999991353131
"169",0.00409836065573753
"171",0.00409836065573753
"173",0.00409836065573753
"176",0.947368421052632
"180",0.406249999999996
"181",0.00409836065573753
"182",0.00409836065573753
"184",0.950000000000001
"190",0.406249999999996
"191",0.999999991353131
"193",0.00409836065573753
"197",0.714285714285711
"203",0.00409836065573753
"204",0.00409836065573753
"206",0.999999991353131
"209",0.00409836065573753
"210",0.00409836065573753
"212",0.950000000000001
"221",0.00409836065573753
"222",0.714285714285711
"223",0.00409836065573753
"228",0.999999991353131
"231",0.947368421052632
"235",0.121951219512193
"237",0.950000000000001
"240",0.406249999999996
"241",0.406249999999996
"242",0.00409836065573753
"244",0.00409836065573753
"245",0.00409836065573753
"251",0.121951219512193
"257",0.00409836065573753
"258",0.00409836065573753
"264",0.714285714285711
"265",0.714285714285711
"266",0.714285714285711
"269",0.950000000000001
"270",0.00409836065573753
"271",0.947368421052632
"275",0.00409836065573753
"278",0.00409836065573753
"280",0.947368421052632
"286",0.999999991353131
"290",0.958333333333333
"299",0.00409836065573753
"313",0.714285714285711
"314",0.00409836065573753
"319",0.00409836065573753
"321",0.406249999999996
"323",0.00409836065573753
"324",0.958333333333333
"329",0.406249999999996
"341",0.406249999999996
"343",0.00409836065573753
"346",0.00409836065573753
"348",0.00409836065573753
"349",0.714285714285711
"352",0.00409836065573753
"357",0.406249999999996
"359",0.92
"365",0.00409836065573753
"367",0.999999991353131
"370",0.406249999999996
"371",0.121951219512193
"372",0.406249999999996
"380",0.714285714285711
"384",0.00409836065573753
"388",0.406249999999996
"389",0.00409836065573753
"390",0.00409836065573753
"393",0.00409836065573753
"398",0.00409836065573753
"401",0.950000000000001
"405",0.00409836065573753
"406",0.00409836065573753
"410",0.121951219512193
"414",0.121951219512193
"415",0.958333333333333
"420",0.00409836065573753
"424",0.406249999999996
"427",0.958333333333333
"433",0.00409836065573753
"435",0.947368421052632
"439",0.406249999999996
"440",0.00409836065573753
"442",0.121951219512193
"444",0.00409836065573753
"445",0.00409836065573753
"447",0.00409836065573753
"448",0.00409836065573753
"451",0.00409836065573753
"453",0.00409836065573753
"455",0.00409836065573753
"461",0.00409836065573753
"462",0.00409836065573753
"473",0.00409836065573753
"476",0.00409836065573753
"484",0.950000000000001
"487",0.00409836065573753
"498",0.00409836065573753
"503",0.00409836065573753
"511",0.00409836065573753
"513",0.00409836065573753
"514",0.00409836065573753
"516",0.714285714285711
"517",0.00409836065573753
"523",0.92
"532",0.121951219512193
"535",0.00409836065573753
"536",0.406249999999996
"538",0.121951219512193
"540",0.00409836065573753
"543",0.00409836065573753
"544",0.00409836065573753
"545",0.406249999999996
"546",0.00409836065573753
"553",0.121951219512193
"560",0.00409836065573753
"564",0.00409836065573753
"571",0.714285714285711
"577",0.00409836065573753
"580",0.00409836065573753
"584",0.00409836065573753
"596",0.00409836065573753
"597",0.121951219512193
"599",0.00409836065573753
"607",0.00409836065573753
"612",0.999999991353131
"613",0.999999991353131
"615",0.00409836065573753
"616",0.406249999999996
"626",0.406249999999996
"629",0.00409836065573753
"634",0.714285714285711
"639",0.00409836065573753
"649",0.999999991353131
"650",0.00409836065573753
"652",0.00409836065573753
"656",0.00409836065573753
"657",0.00409836065573753
"659",0.950000000000001
"670",0.999999991353131
"673",0.00409836065573753
"676",0.714285714285711
"680",0.00409836065573753
"681",0.999999991353131
"682",0.999999991353131
"686",0.00409836065573753
"687",0.00409836065573753
"696",0.00409836065573753
